epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8835,1.64495,3.84955,1.30949,0.64924,0.07071,0.20291,0.10828,1.22851,4.01077,1.05061,0.000656863,0.000656863,0.000656863
2,38.1658,1.64603,2.82798,1.32152,0.59381,0.49495,0.53523,0.30102,1.50584,2.45998,1.32135,0.00131043,0.00131043,0.00131043
3,51.7658,1.68033,2.28364,1.32018,0.62715,0.14141,0.16655,0.09926,1.9351,3.82467,1.55597,0.00195079,0.00195079,0.00195079
4,65.3048,1.64841,1.96082,1.31786,0.63258,0.48696,0.46508,0.23214,1.70774,2.12776,1.4966,0.0019406,0.0019406,0.0019406
5,78.872,1.59298,1.73263,1.30077,0.77765,0.56566,0.66397,0.33368,1.78956,1.89178,1.40285,0.0019208,0.0019208,0.0019208
6,92.4804,1.58232,1.58003,1.2738,0.67564,0.50496,0.54488,0.27748,1.75106,2.10898,1.41359,0.001901,0.001901,0.001901
7,106.125,1.53234,1.49663,1.27191,0.70625,0.57576,0.62412,0.33992,1.60375,2.121,1.34915,0.0018812,0.0018812,0.0018812
8,119.877,1.45561,1.36656,1.2279,0.71843,0.5928,0.67864,0.38787,1.54872,1.56603,1.25572,0.0018614,0.0018614,0.0018614
9,134.146,1.40995,1.32764,1.19413,0.72632,0.72382,0.75986,0.44549,1.44263,1.27923,1.1866,0.0018416,0.0018416,0.0018416
10,148.21,1.37822,1.23551,1.1772,0.86423,0.64303,0.79488,0.47582,1.39481,1.22822,1.1941,0.0018218,0.0018218,0.0018218
11,162.596,1.37778,1.19799,1.1769,0.74334,0.75758,0.8041,0.46124,1.41133,1.29893,1.17396,0.001802,0.001802,0.001802
12,176.791,1.38748,1.18813,1.17653,0.76403,0.81766,0.81689,0.50269,1.29764,1.14827,1.10623,0.0017822,0.0017822,0.0017822
13,191.346,1.33213,1.09276,1.13575,0.82242,0.66667,0.69768,0.416,1.4207,1.38023,1.23365,0.0017624,0.0017624,0.0017624
14,206.153,1.29047,1.0759,1.10958,0.80689,0.76768,0.81156,0.54192,1.23605,1.02479,1.132,0.0017426,0.0017426,0.0017426
15,220.884,1.27934,1.04096,1.12379,0.85784,0.80808,0.84891,0.52878,1.2423,0.94311,1.12653,0.0017228,0.0017228,0.0017228
